,Date,Open,High,Low,Close,Adj Close,Volume,MA_50,MA_100,MA_200,Close_diff,RSI,SO(%K),RSI_CAT,SO(%K)_CAT,EMA_50,EMA_200,SO_%D
56,2017-01-19,8418.400391,8445.150391,8404.049805,8435.099609,8435.099609,165900.0,8173.967959060003,8432.41699713,8302.432248564994,16.699218000001565,58.00677069105798,22.160514245351102,Balanced,Balanced,8184.148854806277,8299.603520256112,18.38155316955613
57,2017-01-20,8404.349609,8423.650391,8340.950195,8349.349609,8349.349609,202600.0,8170.439951240003,8429.98849127,8305.502995634994,-55.0,51.05369608762889,4.481870743734256,Balanced,OverSold,8180.845670822356,8302.899087972308,15.028526431777609
58,2017-01-23,8329.599609,8404.150391,8327.200195,8391.5,8391.5,195000.0,8172.343955140003,8428.177993219999,8308.768496124994,61.90039099999922,54.49726794098679,12.99249972439862,Balanced,OverSold,8179.108972760003,8306.358687220714,13.211628237827993
59,2017-01-24,8407.049805,8480.950195,8398.150391,8475.799805,8475.799805,179200.0,8179.690947340003,8426.86148932,8312.582246124992,68.75,53.9015075648016,18.110650495627134,Balanced,OverSold,8184.244184546278,8310.430499198377,11.861673654586669
60,2017-01-25,8499.450195,8612.599609,8493.950195,8602.75,8602.75,292500.0,8189.513945380002,8425.44549323,8316.801997099992,103.29980500000056,55.000495477782096,32.67750141225345,Balanced,Balanced,8196.281498424709,8315.469487457081,21.260217210759734
61,2017-01-27,8610.5,8672.700195,8606.900391,8641.25,8641.25,275400.0,8200.739941480002,8423.99599128,8321.992246124993,30.75,54.01180864776081,35.84998611836716,Balanced,Balanced,8207.229084776865,8320.030335437306,28.879379342082583
62,2017-01-30,8635.549805,8662.599609,8617.75,8632.75,8632.75,304700.0,8211.912939520003,8422.57698737,8327.084245634995,-2.7998050000005605,59.02974576217756,32.91287882192262,Balanced,Balanced,8217.681512402354,8325.084363078973,33.81345545084775
63,2017-01-31,8629.450195,8631.75,8552.400391,8561.299805,8561.299805,521000.0,8224.556933660002,8420.093481509999,8332.158493684994,-68.15038999999888,52.789611004538244,6.6303919963048354,Balanced,OverSold,8225.6143852251,8329.414748713254,25.131085645531538
64,2017-02-01,8570.349609,8722.400391,8537.5,8716.400391,8716.400391,327700.0,8238.838945380001,8417.827485419999,8337.964494664993,146.05078199999843,59.20749067622931,49.839892411814816,Balanced,Balanced,8243.844912379218,8335.98179614584,29.794387743347425
65,2017-02-02,8724.75,8757.599609,8685.799805,8734.25,8734.25,283500.0,8252.85794928,8415.99048347,8343.278745154994,9.5,57.10350870184487,20.61710425531891,Balanced,Balanced,8258.266829874903,8341.90763402156,25.695796221146185
66,2017-02-03,8735.150391,8748.25,8707.75,8740.950195,8740.950195,191000.0,8268.366953179999,8413.874985420001,8348.438745154994,5.799804000000222,56.56865520964737,13.122606719367367,Balanced,OverSold,8271.998821661176,8347.235675004198,27.859867795500364
67,2017-02-06,8785.450195,8814.099609,8770.200195,8801.049805,8801.049805,194400.0,8282.10195318,8413.218481520002,8353.191743204992,15.599610000001121,57.5767970925618,32.75155584212165,Balanced,Balanced,8289.256476780783,8352.942337790268,22.163755605602642
68,2017-02-07,8805.700195,8809.299805,8741.049805,8768.299805,8768.299805,226300.0,8294.929951240001,8413.745483480001,8357.459741254992,-37.40038999999888,58.79546570205041,20.59043259666439,Balanced,Balanced,8301.168535604313,8357.322171680564,22.1548650527178
69,2017-02-08,8774.549805,8791.25,8715.0,8769.049805,8769.049805,218700.0,8307.4679493,8414.16998544,8361.731240279993,-5.5,60.3885425951367,20.868931602285546,Balanced,Balanced,8313.52288668157,8361.555164774843,24.73697334702386
70,2017-02-09,8795.549805,8821.400391,8724.099609,8778.400391,8778.400391,187500.0,8318.54595712,8414.528491299998,8366.062993209991,-17.149414000001343,64.48005205513343,24.34110347291855,Balanced,Balanced,8325.935888190197,8365.8772019787,21.933489223956162
71,2017-02-10,8812.349609,8822.099609,8771.200195,8793.549805,8793.549805,225900.0,8330.5589454,8414.665493259998,8370.534243209991,-18.799804000000222,67.91479462838754,28.857530186682272,Balanced,Balanced,8337.173558997647,8370.316593327305,24.689188420628792
72,2017-02-13,8819.799805,8826.900391,8754.200195,8805.049805,8805.049805,204900.0,8344.9239454,8414.631987399998,8375.284243209991,-14.75,72.48560205196559,32.96980764815024,OverBought,Balanced,8349.166430090196,8374.857781138251,28.722813769250354
73,2017-02-14,8819.900391,8820.450195,8772.5,8792.299805,8792.299805,188300.0,8358.1949415,8414.795981539997,8379.43249272499,-27.600585999998657,72.05558926623216,28.410543506087926,OverBought,Balanced,8362.468096756862,8379.433651785017,30.079293780306813
74,2017-02-15,8778.950195,8807.900391,8712.849609,8724.700195,8724.700195,216100.0,8369.825947360001,8414.271479579998,8383.15649418999,-54.25,68.87035406923425,4.237643279389761,Balanced,OverSold,8372.567696539216,8382.867992250116,21.872664811209308
75,2017-02-16,8739.0,8783.950195,8719.599609,8778.0,8778.0,184600.0,8383.34495126,8413.376977629998,8387.810244189992,39.0,63.5389136943746,21.39989275427582,Balanced,Balanced,8385.832772953727,8387.085285292578,18.016026513251173
76,2017-02-17,8883.700195,8896.450195,8804.25,8821.700195,8821.700195,298300.0,8394.84196298,8413.278481529998,8392.66974613999,-62.0,62.74907287206646,9.269691899070088,Balanced,OverSold,8400.535352975294,8392.127557133375,11.635742644245225
77,2017-02-20,8818.549805,8886.25,8809.799805,8879.200195,8879.200195,167800.0,8407.19096688,8414.839985429999,8398.036247604992,60.65038999999888,61.25806952714225,37.98594194165972,Balanced,Balanced,8413.836403451372,8397.510845133622,22.88517553166854
78,2017-02-21,8890.75,8920.799805,8860.950195,8907.849609,8907.849609,175700.0,8421.93196296,8416.854477609999,8403.840495649993,17.099609000000783,61.58902916663562,18.180060504840498,Balanced,OverSold,8426.82463912,8403.109017370116,21.811898115190104
79,2017-02-22,8931.599609,8960.75,8905.25,8926.900391,8926.900391,247100.0,8436.033974679998,8418.67197761,8409.942248579993,-4.699218000001565,50.9071333204501,25.43334572839019,Balanced,Balanced,8441.73464641255,8409.045071723127,27.19978272496347
80,2017-02-23,8956.400391,8982.150391,8927.549805,8939.5,8939.5,377200.0,8451.174970779999,8422.15447761,8415.962248579992,-16.900390999999217,55.645753815738004,26.61311716009151,Balanced,Balanced,8455.777740378822,8415.211479937407,23.408841131107398
81,2017-02-27,8943.700195,8951.799805,8888.650391,8896.700195,8896.700195,189900.0,8466.03697272,8425.00997565,8421.778498579994,-47.0,59.80681139230759,10.215044967442694,Balanced,OverSold,8468.646548200391,8420.745710733425,20.753835951974796
82,2017-02-28,8898.950195,8914.75,8867.599609,8879.599609,8879.599609,293600.0,8480.839961,8426.42497565,8426.846247599991,-19.350585999998657,66.69385437055918,5.442354853693868,Balanced,OverSold,8482.255115319214,8426.33393251452,14.090172327076024
83,2017-03-01,8904.400391,8960.799805,8898.599609,8945.799805,8945.799805,205900.0,8497.66895514,8428.19146979,8432.136247599992,41.39941400000134,65.63231124475021,23.91850654682639,Balanced,Balanced,8499.073680372549,8432.009964589046,13.191968789320983
84,2017-03-02,8982.849609,8992.5,8879.799805,8899.75,8899.75,218800.0,8514.0159571,8429.74946784,8437.390747109992,-83.09960900000078,60.069768848340665,11.066230662036174,Balanced,OverSold,8513.436839252156,8436.789120758202,13.475697354185478
85,2017-03-03,8883.5,8907.099609,8860.099609,8897.549805,8897.549805,202600.0,8530.7409571,8431.629467839999,8442.376496624993,14.04980500000056,54.064996614696696,10.452166972942845,Balanced,OverSold,8529.056500154902,8441.969444203425,15.145634727268467
86,2017-03-06,8915.099609,8967.799805,8914.0,8963.450195,8963.450195,174800.0,8550.42795904,8434.2879737,8448.119248089994,48.35058599999866,53.698793678969636,21.902268975816465,Balanced,Balanced,8547.70994682157,8447.561309544148,14.473555536931826
87,2017-03-07,8977.75,8977.849609,8932.799805,8946.900391,8946.900391,173400.0,8569.65096686,8436.66897956,8453.550000044994,-30.849609000000783,52.511365495103846,16.832642979941667,Balanced,OverSold,8565.975897548235,8453.08224453686,16.395692976233658
88,2017-03-08,8950.700195,8957.049805,8891.950195,8924.299805,8924.299805,177800.0,8589.971962959999,8440.178481519999,8458.717749069994,-26.40038999999888,52.598071562924055,9.909508524234779,Balanced,OverSold,8583.558764434118,8458.234077706238,16.214806826664304
89,2017-03-09,8914.5,8945.799805,8899.5,8927.0,8927.0,171500.0,8607.854961,8443.61447761,8464.001999559994,12.5,50.81045723351257,8.623382340098813,Balanced,OverSold,8603.188748726274,8463.37727395487,11.788511281425087
90,2017-03-10,8953.700195,8975.700195,8903.950195,8934.549805,8934.549805,152700.0,8625.84895514,8447.75597175,8469.757749074995,-19.15038999999888,51.95388576921127,9.73114674096153,Balanced,OverSold,8620.666523509803,8468.684067275815,9.421345868431708
91,2017-03-14,9091.650391,9122.75,9060.5,9087.0,9087.0,270300.0,8645.516953179998,8451.84696784,8476.444248099995,-4.6503909999992175,57.03218109730191,34.00301142257808,Balanced,Balanced,8643.933309840391,8475.899463014548,17.45251350121281
92,2017-03-15,9086.849609,9106.549805,9075.5,9084.799805,9084.799805,240600.0,8663.49695318,8456.1039698,8483.212998099994,-2.049804000000222,55.19786550441147,28.975915413755427,Balanced,Balanced,8662.743731682744,8482.497537223378,24.236691192431678
93,2017-03-16,9129.650391,9158.450195,9128.549805,9153.700195,9153.700195,208600.0,8682.980957079999,8460.646967839999,8490.237248584996,24.049804000000222,56.52936471652234,52.788719818578734,Balanced,Balanced,8682.72060972196,8489.884512497008,38.589215551637416
94,2017-03-17,9207.799805,9218.400391,9147.599609,9160.049805,9160.049805,286700.0,8702.33695318,8465.316967839999,8496.362998099996,-47.75,52.652295415090435,55.28266930226183,Balanced,Balanced,8701.689539351371,8496.902050141363,45.68243484486533
95,2017-03-20,9166.950195,9167.599609,9116.299805,9126.849609,9126.849609,332100.0,8721.06394536,8469.49596198,8501.648996634995,-40.10058599999866,50.775594496237744,42.242559488846105,Balanced,Balanced,8718.984508310195,8502.636496715917,50.10464953656222
96,2017-03-21,9133.950195,9147.75,9087.200195,9121.5,9121.5,247700.0,8738.01794926,8473.79796393,8506.473247124994,-12.45019499999944,53.621847457824565,40.141382471130676,Balanced,Balanced,8736.767320051764,8507.816668310268,45.8888704207462
97,2017-03-22,9047.200195,9072.900391,9019.299805,9030.450195,9030.450195,232300.0,8753.75095706,8477.94996588,8510.732998099993,-16.75,53.84905470618822,4.379561797237551,Balanced,OverSold,8749.48588046549,8511.686948098873,28.921167919071447
98,2017-03-23,9048.75,9099.049805,9048.599609,9086.299805,9086.299805,191800.0,8770.75595706,8482.660463929999,8515.363996634993,37.54980500000056,53.11384636606451,24.73396750250806,Balanced,Balanced,8766.792088351764,8516.46003100447,23.084970590292098
99,2017-03-24,9104.0,9133.549805,9089.400391,9108.0,9108.0,203700.0,8787.14396488,8487.36046393,8520.004245659993,4.0,54.34302132486559,33.44016409227714,Balanced,Balanced,8783.981213645882,8521.260872290366,20.851231130674254
100,2017-03-27,9093.450195,9094.849609,9024.650391,9045.200195,9045.200195,202700.0,8800.434960960001,8491.549965880002,8524.135495659993,-48.25,54.350644938318325,8.244655566700189,Balanced,OverSold,8797.263817041568,8525.230076001684,22.139595720495134
101,2017-03-28,9081.5,9110.400391,9079.799805,9100.799805,9100.799805,183300.0,8814.306953160001,8497.41796393,8528.535495659991,19.29980500000056,47.319456522379234,10.819132715034742,Balanced,OverSold,8812.213974451766,8529.87344898676,17.501317458004024
102,2017-03-29,9128.700195,9153.150391,9109.099609,9143.799805,9143.799805,243400.0,8829.17595708,8504.00646003,8533.249245659992,15.099610000001121,46.33377716409276,34.540585660378035,Balanced,Balanced,8827.228241467452,8534.657528588748,17.868124647370987
103,2017-03-30,9142.599609,9183.150391,9136.349609,9173.75,9173.75,323400.0,8844.39496098,8511.406460029999,8537.785744684992,31.150390999999217,48.58989660994315,49.609866163522405,Balanced,Balanced,8842.688664645491,8539.62238749422,31.65652817964506
104,2017-03-31,9158.900391,9191.700195,9152.099609,9173.75,9173.75,190900.0,8859.909960980001,8518.17346198,8542.289245659991,14.849609000000783,49.01944290939946,49.609866163522405,Balanced,Balanced,8857.310844863137,8544.11374722544,44.58677266247428
105,2017-04-03,9220.599609,9245.349609,9192.400391,9237.849609,9237.849609,139100.0,8876.326953160002,8525.11646002,8547.460495659992,17.25,47.416330907323974,81.86124176100708,Balanced,OverBought,8874.731123647452,8549.21024430019,60.3603246960173
106,2017-04-05,9264.400391,9273.900391,9215.400391,9265.150391,9265.150391,184800.0,8892.927968800002,8533.44796393,8552.935998589992,0.75,41.12288343146011,81.17930318796584,Balanced,OverBought,8891.574931114512,8554.60168864845,70.88347037083177
107,2017-04-06,9245.799805,9267.950195,9218.849609,9261.950195,9261.950195,186100.0,8911.179980520003,8540.80996588,8558.692749074991,16.15038999999888,36.631355353058495,64.00550086054757,Balanced,Balanced,8907.399428650982,8559.990866215961,75.68201526984016
108,2017-04-07,9223.700195,9250.5,9188.099609,9198.299805,9198.299805,190000.0,8927.315976620002,8549.82996588,8564.139997609993,-25.40038999999888,36.783391696084905,42.174456849315526,Balanced,Balanced,8922.439581480003,8565.056998387678,62.45308696594298
